,total_length_of_data,length_of_high_confidence_data,mean_profit_per_trade,layman_profit,returns
ACC.NS,1075,1075,3.429617377180337,1531.5108241008363,2.746118086182877e+17
ABBOTINDIA.NS,2340,2340,1.1007839835853743,5824.47265625,1397144381856.6887
ADANIENT.NS,1045,1045,7.503855626413625,186217.17107465796,3.56462818603028e+33
ADANIGREEN.NS,285,285,9.956630135973318,6864.630139652875,21240479909532.832
ADANITRANS.NS,455,455,7.133129149764201,8571.327087942478,1027537216985822.0
ALKEM.NS,325,325,3.4736906067846745,168.76244147866157,5451545.1193085285
AMBUJACEM.NS,945,945,3.370343252059363,1449.609549885007,2226889427198824.5
APOLLOHOSP.NS,925,925,4.070937059764436,9883.190205948722,3.982649972372659e+17
AUROPHARMA.NS,1495,1495,5.695153155768669,14979.557153700576,4.765997638077211e+36
DMART.NS,305,305,3.8412806905905366,459.8125557397206,7626889.373352342
BAJAJHLDNG.NS,1015,1015,3.676082614349115,1476.6457073205613,1.4150939557194509e+17
BANDHANBNK.NS,210,210,6.343243564530678,-37.63611241464851,24702802.3409128
BERGEPAINT.NS,1150,1150,4.044372322643815,31246.57298295437,1.4319112988164764e+21
BIOCON.NS,935,935,3.698039449582243,793.3705194546826,2.250349304657593e+16
BOSCHLTD.NS,990,990,3.6710921182752196,4714.438244031341,1.5706005850947318e+17
COLPAL.NS,985,985,2.9951876546574505,2273.8518156828704,250349796267646.22
DLF.NS,800,800,5.334941744023061,-43.195620955053556,1.9399679721756955e+19
DABUR.NS,980,980,3.239397980030372,6460.540838243945,1978823446260969.2
GAIL.NS,1590,1590,3.49657989378059,464.60818916355277,3.287930106189182e+24
GODREJCP.NS,1075,1075,3.9700978826650597,9672.078322672616,5.87414725490426e+19
HDFCAMC.NS,240,240,3.4889634738295734,56.943835784098205,308722.7148025631
HAVELLS.NS,1080,1080,4.708848283154432,83884.3261665789,8.66057431193023e+22
HINDPETRO.NS,1320,1320,5.272776855360287,689.7499808285457,3.4984938978442045e+29
ICICIGI.NS,235,235,3.1983217743376127,86.45739310412533,143565.22989681
ICICIPRULI.NS,285,285,3.5910335752108713,74.2566017589464,1978787.362696638
IGL.NS,880,880,3.6214730735571714,1936.8449787797051,2071756886975892.8
INDUSTOWER.NS,395,390,4.436630373290306,-1.4146311690167683,1461800980.4923658
NAUKRI.NS,770,770,4.860785221947539,2814.955625036695,2.972391529043139e+17
INDIGO.NS,330,325,4.959564047143728,72.14041489662633,454273095.8151649
JUBLFOOD.NS,655,655,4.667398518643359,1829.695730194296,433899735161642.9
LTI.NS,335,335,4.275179511090684,934.5961698584514,88404433.38475038
LUPIN.NS,1210,1210,3.938690961577437,11615.829911336272,3.95513351529273e+21
MRF.NS,1040,1040,4.68154557169502,7951.165342809365,1.056187687080866e+22
MARICO.NS,1645,1645,2.7217719726888077,27647.55931338169,4.021333369002088e+20
MOTHERSUMI.NS,1220,1220,5.102057723603591,59807.7362557457,9.324484540334686e+26
MUTHOOTFIN.NS,495,495,5.186472349645214,814.4257969591517,3527097558613.9497
NMDC.NS,740,740,4.580984590676324,-56.060884723007455,7181412255552787.0
PETRONET.NS,885,885,3.7431847299761354,1825.176499310662,5386421032112861.0
PIDILITIND.NS,1025,1025,4.11923355932828,44680.71681335043,6.614178785711847e+18
PEL.NS,1400,1400,4.684028738491374,4030.807636232195,1.066473641153694e+29
PGHH.NS,1140,1140,2.2845361765111396,3389.6615985093304,8369039991566.823
PNB.NS,985,985,5.02149062211165,307.96856449642786,2.2150903341425808e+22
SBICARD.NS,120,120,3.683543747289872,64.14035577224311,6935.568177899358
SIEMENS.NS,1255,1255,4.666808696105637,13189.999472128378,1.73239428139923e+26
TORNTPHARM.NS,1025,1025,4.056088441824501,11749.668969332864,1.494017950005467e+19
UBL.NS,635,635,5.169036399682172,1984.375,2557344720870321.5
MCDOWELL-N.NS,970,970,6.0248192678707735,11555.127607122382,6.181102436021438e+24
VEDL.NS,1530,1530,5.791963126790021,3760.9134321294705,5.543527492365602e+37
YESBANK.NS,965,965,5.4926145707650464,-5.66741415010905,1.241479661862428e+23
